Google Profile,Company Name,Rating,Trade,Address,Address 2,Phone,website,Reviews_1,Review Keyword,Reviews_2, Combined Reviews
,,,,,,,,,,,
,,,,,,,,,,,
https://www.google.com/maps/place/TX+Roofing+%26+Services/data=!4m7!3m6!1s0x8640c73493b30935:0xaa47fe137de847f4!8m2!3d29.8134998!4d-95.4602118!16s%2Fg%2F11tj2r6h7c!19sChIJNQmzkzTHQIYR9EfofRP-R6o?authuser=0&hl=en&rclk=1,TX Roofing & Services,4.9,Roofing contractor,2855 Mangum Rd Unit B201B,·,(786) 797-9134,http://www.txroofingandservices.com/,"""They replaced my",roof,"and the whole process was very smooth.""","""They replaced my roof and the whole process was very smooth."""
"https://www.google.com/maps/place/WSR+Roofing,+LLC./data=!4m7!3m6!1s0x8640c7c6166bf35b:0x7599eb74d489e1d0!8m2!3d29.8440221!4d-95.4244483!16s%2Fg%2F1tdr3pwv!19sChIJW_NrFsbHQIYR0OGJ1HTrmXU?authuser=0&hl=en&rclk=1","WSR Roofing, LLC.",4.4,Roofing contractor,1063 W Donovan St,·,(281) 808-6250,http://www.wsrroofing.com/,"""He provided me with crystal clear pictures of my",roof,"using his drone.""","""He provided me with crystal clear pictures of my roof using his drone."""
https://www.google.com/maps/place/Roof+Repair+Services+of+Central+Northwest/data=!4m7!3m6!1s0x80deaae0b2f2f32b:0x2cc3a14a205528b2!8m2!3d29.8400559!4d-95.4292306!16s%2Fg%2F1td33bz1!19sChIJK_PysuCq3oARsihVIEqhwyw?authuser=0&hl=en&rclk=1,Roof Repair Services of Central Northwest,4.5,Roofing contractor,3530 Pinemont Dr Suite 400,·,(346) 598-5444,https://roofrepair.day/central-northwest-roof-repair/,,,,
https://www.google.com/maps/place/JC%26C+Roofing+Company/data=!4m7!3m6!1s0x8640dd7205d73a39:0xbb6c1c6963495871!8m2!3d29.790332!4d-95.5210101!16s%2Fg%2F1pp2tzj5w!19sChIJOTrXBXLdQIYRcVhJY2kcbLs?authuser=0&hl=en&rclk=1,JC&C Roofing Company,4.8,Roofing contractor,·,1220 Blalock Rd #145,(281) 498-7663,https://www.myroofimprovement.com/,"""... inspected the",roof,and made excellent recommendations for,"""... inspected the roof and made excellent recommendations for"
https://www.google.com/maps/place/All+Over+Exterior+Roofing/data=!4m7!3m6!1s0x86472fc18806aa71:0x2065138c803be509!8m2!3d29.8066006!4d-95.4539164!16s%2Fg%2F11f6sv713k!19sChIJcaoGiMEvR4YRCeU7gIwTZSA?authuser=0&hl=en&rclk=1,All Over Exterior Roofing,5,Roofing contractor,·,10050 Northwest Fwy Suite 130,(281) 846-6665,https://allovertxroofing.com/,"""I had a new",roof,"professionally installed and exactly as quoted.""","""I had a new roof professionally installed and exactly as quoted."""
https://www.google.com/maps/place/Houston+Roofing+Experts/data=!4m7!3m6!1s0x8640a1317671c315:0xc1007ed98cb7d41e!8m2!3d29.7973412!4d-95.3987946!16s%2Fg%2F11b7jg5k23!19sChIJFcNxdjGhQIYRHtS3jNl-AME?authuser=0&hl=en&rclk=1,Houston Roofing Experts,4.9,Roofing contractor,1430 Yale St,·,(713) 291-3866,https://houstonroofingexperts.com/,"""They showed up on time and completed the",roof repair,"in a timely matter.""","""They showed up on time and completed the roof repair in a timely matter."""
https://www.google.com/maps/place/Campos+Roofing/data=!4m7!3m6!1s0x8640c7a6e81f6c41:0x5807aafc35e806a9!8m2!3d29.840262!4d-95.4399618!16s%2Fg%2F1td5rnqh!19sChIJQWwf6KbHQIYRqQboNfyqB1g?authuser=0&hl=en&rclk=1,Campos Roofing,4.3,Roofing contractor,·,3825 Pinemont Dr,(713) 352-8290,https://www.camposroofing.com/?utm_campaign=gmb,"""The new",roof,"looks excellent and we are very satisfied.""","""The new roof looks excellent and we are very satisfied."""
https://www.google.com/maps/place/WK+Wilders+Construction+LLC/data=!4m7!3m6!1s0x8640c73feb13b0a3:0xb3b05c62c6c5c95a!8m2!3d29.8525837!4d-95.4201138!16s%2Fg%2F11rk4dmyv9!19sChIJo7AT6z_HQIYRWsnFxmJcsLM?authuser=0&hl=en&rclk=1,WK Wilders Construction LLC,4.9,Roofing contractor,831 Elkhart St,·,(832) 330-9082,https://wilderconstructiontx.com/,"""Very honest and professional",roofer,".""","""Very honest and professional roofer ."""
