name,phone,website,email,procore_url,in_houston,primary_email,priority,sms_1,sms_followup,email_subject,email_body,call_script_opener
Accutek Technologies,+12819706099,http://www.myaccutek.com,info@myaccutek.com,https://network.procore.com/p/accutek-technologies-houston,True,info@myaccutek.com,A,"Hey Accutek Technologies, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Accutek Technologies — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Accutek Technologies,"Hi Accutek Technologies team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Accutek Technologies could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: http://www.myaccutek.com

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Accutek Technologies? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
ADT Commercial,,http://www.adt.com/commercial,"1_desktop@2x-1.jpg, 2_desktop@2x.jpg, content%20blade%20image_desktop@2x-1280x1280.jpeg, content%20blade%20image_desktop@2x-1440x1440.png, content%20blade%20image_desktop@2x.jpg, hero_desktop@2x.jpg, hero_mobile@2x.jpg, hero_tablet@2x-v3.jpg, image%201_desktop@2x-1-1280x1280.jpeg, image%201_desktop@2x-1-1440x1440.png, image%201_desktop@2x-1.jpg, image%202_desktop@2x-1280x1280.jpeg, image%202_desktop@2x-1440x1440.png, image%202_desktop@2x.jpg, image_desktop@2x-1280x1280.jpeg, image_desktop@2x-1440x1440.png, image_desktop@2x-380x380.png, image_desktop@2x-500x500.png, image_desktop@2x-640x640.png, image_desktop@2x.jpg, mobile_full%20screen@2x-380x380.png, mobile_full%20screen@2x-500x500.png, mobile_full%20screen@2x-640x640.png, mobile_full%20screen@2x.jpg, resources-image_desktop@2x-1280x1280.jpeg, resources-image_desktop@2x-1440x1440.png, resources-image_desktop@2x.jpg, screen@2x.jpg, sensor@2x.png",https://network.procore.com/p/adt-commercial-houston,True,1_desktop@2x-1.jpg,B,"Hey ADT Commercial, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up ADT Commercial — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for ADT Commercial,"Hi ADT Commercial team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, ADT Commercial could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: http://www.adt.com/commercial

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this ADT Commercial? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Advancedtronics Inc.Advancedtronics Inc.,+17134651527,http://advancedtronicsinc.net,"contact@sansoxygen.com, email@advancedtronics.net",https://network.procore.com/p/advancedtronics-inc-houston,True,contact@sansoxygen.com,A,"Hey Advancedtronics Inc.Advancedtronics Inc., I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Advancedtronics Inc.Advancedtronics Inc. — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Advancedtronics Inc.Advancedtronics Inc.,"Hi Advancedtronics Inc.Advancedtronics Inc. team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Advancedtronics Inc.Advancedtronics Inc. could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: http://advancedtronicsinc.net

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Advancedtronics Inc.Advancedtronics Inc.? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Advant Solutions,+12814444014,https://advant-solutions.com,,https://network.procore.com/p/advant-solutions-houston,True,,C,"Hey Advant Solutions, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Advant Solutions — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Advant Solutions,"Hi Advant Solutions team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Advant Solutions could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: https://advant-solutions.com

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Advant Solutions? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Advant-Solutions llc,+17132528632,,,https://network.procore.com/p/advant-solutions-llc-houston,True,,C,"Hey Advant-Solutions llc, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Advant-Solutions llc — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Advant-Solutions llc,"Hi Advant-Solutions llc team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Advant-Solutions llc could show up stronger for high-intent Houston searches like camera installation and access control.

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Advant-Solutions llc? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
"Advantage Security Integration, Ltd.Advantage Security Integration, Ltd.",+17134902020,https://eyeforce.net,,https://network.procore.com/p/advantage-security-integration-ltd-houston,True,,C,"Hey Advantage Security Integration, Ltd.Advantage Security Integration, Ltd., I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?","Quick follow-up Advantage Security Integration, Ltd.Advantage Security Integration, Ltd. — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.","Quick Houston visibility check for Advantage Security Integration, Ltd.Advantage Security Integration, Ltd.","Hi Advantage Security Integration, Ltd.Advantage Security Integration, Ltd. team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Advantage Security Integration, Ltd.Advantage Security Integration, Ltd. could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: https://eyeforce.net

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Advantage Security Integration, Ltd.Advantage Security Integration, Ltd.? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
"ANIAkisha Networks, Inc.",+17138407424,https://www.akishanetworks.com,info@akisha.net,https://network.procore.com/p/akisha-networks-inc-houston,True,info@akisha.net,A,"Hey ANIAkisha Networks, Inc., I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?","Quick follow-up ANIAkisha Networks, Inc. — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.","Quick Houston visibility check for ANIAkisha Networks, Inc.","Hi ANIAkisha Networks, Inc. team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, ANIAkisha Networks, Inc. could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: https://www.akishanetworks.com

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this ANIAkisha Networks, Inc.? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
AMC builders,+14092021665,,,https://network.procore.com/p/amc-builders-houston,True,,C,"Hey AMC builders, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up AMC builders — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for AMC builders,"Hi AMC builders team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, AMC builders could show up stronger for high-intent Houston searches like camera installation and access control.

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this AMC builders? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
American Fire Protection Group,+18328764001,,,https://network.procore.com/p/american-fire-protection-group-houston,True,,C,"Hey American Fire Protection Group, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up American Fire Protection Group — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for American Fire Protection Group,"Hi American Fire Protection Group team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, American Fire Protection Group could show up stronger for high-intent Houston searches like camera installation and access control.

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this American Fire Protection Group? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
"American Fire System, Inc.American Fire System, Inc.",,,,https://network.procore.com/p/american-fire-system-inc-houston,True,,D,"Hey American Fire System, Inc.American Fire System, Inc., I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?","Quick follow-up American Fire System, Inc.American Fire System, Inc. — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.","Quick Houston visibility check for American Fire System, Inc.American Fire System, Inc.","Hi American Fire System, Inc.American Fire System, Inc. team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, American Fire System, Inc.American Fire System, Inc. could show up stronger for high-intent Houston searches like camera installation and access control.

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this American Fire System, Inc.American Fire System, Inc.? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
